Round,Opponent,Result,Venue,GF,GA,xG,xGA,Poss,Avg_GF,Avg_GA,Avg_xG,Avg_xGA,Avg_Poss,Label,Form_Score
15,Aston Villa,L,Away,0,1,0.6,2.3,54,2.6666666666666665,2.6666666666666665,2.266666666666667,1.3333333333333333,56.333333333333336,-1,7.666666666666667
15,Chelsea,W,Home,2,1,4.1,1.5,45,1.3333333333333333,0.3333333333333333,1.6333333333333335,1.7333333333333336,51.666666666666664,1,7.333333333333333
15,Everton,L,Away,0,3,1.5,3.3,62,1.6666666666666667,1.0,1.7666666666666666,1.1333333333333333,54.666666666666664,-1,8.222222222222221
15,Fulham,L,Away,0,5,0.3,2.5,37,1.3333333333333333,2.3333333333333335,1.4333333333333333,1.2666666666666666,51.333333333333336,-1,4.444444444444445
15,Liverpool,L,Home,0,2,1.0,1.7,25,0.6666666666666666,3.0,0.7666666666666666,2.0666666666666664,40.666666666666664,-1,5.111111111111111
15,West Ham,L,Home,1,2,1.8,2.2,74,1.6666666666666667,2.3333333333333335,1.1666666666666667,2.1333333333333333,55.0,-1,5.111111111111111
15,Tottenham,W,Away,2,1,2.2,1.8,26,2.0,1.3333333333333333,1.2666666666666668,1.3,53.0,1,7.111111111111112
15,Burnley,W,Home,1,0,0.8,0.9,51,1.6666666666666667,2.0,1.4000000000000001,2.1333333333333333,41.666666666666664,1,5.111111111111111
16,Aston Villa,L,Away,0,1,1.4,0.6,61,2.3333333333333335,1.3333333333333333,2.1999999999999997,0.7666666666666666,62.0,-1,9.11111111111111
16,Arsenal,W,Home,1,0,0.6,1.4,39,1.6666666666666667,1.0,1.5666666666666664,1.633333333333333,48.666666666666664,1,8.333333333333334
16,Manchester Utd,W,Away,3,0,1.5,1.1,32,2.3333333333333335,1.0,2.2333333333333334,0.8333333333333335,44.333333333333336,1,8.333333333333334
16,Sheffield Utd,L,Away,0,1,0.6,0.8,59,1.3333333333333333,1.3333333333333333,1.9000000000000004,1.0999999999999999,48.0,-1,5.777777777777777
16,Burnley,D,Home,1,1,2.6,0.6,72,2.3333333333333335,2.0,1.2999999999999998,1.8333333333333333,60.666666666666664,0,7.444444444444445
16,Brighton,D,Away,1,1,0.6,2.6,28,2.0,1.0,1.3333333333333333,0.7000000000000003,54.0,0,4.888888888888888
16,Everton,L,Away,0,2,0.9,1.2,71,1.6666666666666667,2.6666666666666665,1.3666666666666665,2.533333333333333,44.333333333333336,-1,6.333333333333333
